DF0000001 avg_kimura=34.34 [mir]
DF0000002 avg_kimura=4.26 [aluy]
DF0000003 avg_kimura=7.96 [alusc]
DF0000004 avg_kimura=13.88 [tigger3a]
DF0000005 avg_kimura=8.26 [the1a]
DF0000006 avg_kimura=29.84 [helitron1na_mam]
DF0000007 avg_kimura=12.58 [alujb]
DF0000008 avg_kimura=30.97 [l1m5_orf2]
DF0000010 avg_kimura=28.90 [l1mc4_3end]
DF0000011 avg_kimura=20.88 [7sk]
DF0000012 avg_kimura=10.61 [5s]
DF0000013 avg_kimura=15.58 [acro1]
DF0000014 avg_kimura=15.23 [alra]
DF0000015 avg_kimura=7.99 [alrb]
DF0000016 avg_kimura=12.58 [7slrna]
DF0000017 avg_kimura=7.31 [harlequin]
DF0000018 avg_kimura=21.82 [charlie1]
DF0000019 avg_kimura=28.39 [charlie2a]
DF0000020 avg_kimura=27.89 [charlie2b]
DF0000021 avg_kimura=21.76 [charlie1a]
DF0000022 avg_kimura=21.69 [charlie1b]
DF0000023 avg_kimura=8.32 [charlie3]
DF0000024 avg_kimura=25.15 [charlie4]
DF0000025 avg_kimura=24.52 [charlie4a]
DF0000026 avg_kimura=31.63 [charlie4z]
DF0000027 avg_kimura=19.98 [charlie5]
DF0000028 avg_kimura=34.47 [tigger16a]
DF0000029 avg_kimura=14.24 [alr]
DF0000034 avg_kimura=12.12 [alujo]
DF0000035 avg_kimura=12.97 [alujr]
DF0000036 avg_kimura=13.94 [alujr4]
DF0000037 avg_kimura=9.58 [alusc5]
DF0000038 avg_kimura=8.09 [alusc8]
DF0000039 avg_kimura=7.25 [alusg]
DF0000040 avg_kimura=9.03 [alusg4]
DF0000041 avg_kimura=9.55 [alusg7]
DF0000042 avg_kimura=8.00 [alusp]
DF0000043 avg_kimura=9.55 [alusq]
DF0000044 avg_kimura=9.39 [alusq10]
DF0000045 avg_kimura=8.25 [alusq2]
DF0000046 avg_kimura=10.58 [alusq4]
DF0000047 avg_kimura=7.30 [alusx]
DF0000048 avg_kimura=8.40 [alusx1]
DF0000049 avg_kimura=10.21 [alusx3]
DF0000050 avg_kimura=9.62 [alusx4]
DF0000051 avg_kimura=9.46 [alusz]
DF0000052 avg_kimura=10.94 [alusz6]
DF0000053 avg_kimura=12.52 [aluya5]
DF0000054 avg_kimura=16.57 [aluya8]
DF0000055 avg_kimura=11.21 [aluyb8]
DF0000056 avg_kimura=15.09 [aluyb9]
DF0000057 avg_kimura=11.22 [aluyc]
DF0000058 avg_kimura=11.91 [aluyc3]
DF0000060 avg_kimura=12.91 [aluyd8]
DF0000063 avg_kimura=11.83 [aluyh9]
DF0000064 avg_kimura=21.16 [aluyk11]
DF0000065 avg_kimura=15.73 [aluyk12]
DF0000066 avg_kimura=8.46 [aluyk4]
DF0000067 avg_kimura=37.44 [amnsine1]
DF0000068 avg_kimura=36.56 [amnsine2]
DF0000069 avg_kimura=25.96 [arthur1]
DF0000070 avg_kimura=27.73 [arthur1a]
DF0000071 avg_kimura=27.42 [arthur1b]
DF0000072 avg_kimura=25.90 [arthur1c]
